subject_id,fold,metric,model,value,cases_aggregated
sub-verse022,2,complete_label_set_indicator,d175,0.0,1
sub-verse022,2,foreground_dice,d129,0.877183,1
sub-verse022,2,foreground_dice,d175,0.877371,1
sub-verse022,2,identification_rate,d129,1.0,1
sub-verse022,2,identification_rate,d175,1.0,1
sub-verse022,2,label_set_jaccard,d129,0.625,1
sub-verse022,2,label_set_jaccard,d175,0.7142857142857143,1
sub-verse022,2,macro_label_dice,d129,0.9543644436468453,1
sub-verse022,2,macro_label_dice,d175,0.9511057447771734,1
sub-verse022,2,missing_label_count,d129,0.0,1
sub-verse022,2,missing_label_count,d175,0.0,1
sub-verse022,3,common_matched_assd_mm,d129,0.21004223654617876,1
sub-verse022,3,common_matched_assd_mm,d175,0.21830289465470462,1
sub-verse022,3,common_matched_hd95_mm,d129,1.0,1
sub-verse022,3,common_matched_hd95_mm,d175,1.0,1
sub-verse022,3,complete_label_set_indicator,d129,0.0,1
sub-verse022,3,complete_label_set_indicator,d175,0.0,1
sub-verse022,3,foreground_dice,d129,0.876442,1
sub-verse022,3,foreground_dice,d175,0.874506,1
sub-verse022,3,identification_rate,d129,1.0,1
sub-verse022,3,identification_rate,d175,1.0,1
sub-verse022,3,label_set_jaccard,d129,0.625,1
sub-verse022,3,label_set_jaccard,d175,0.7142857142857143,1
sub-verse022,3,macro_label_dice,d129,0.9534769040715382,1
sub-verse022,3,macro_label_dice,d175,0.9514101345031067,1
sub-verse022,3,missing_label_count,d129,0.0,1
sub-verse022,3,missing_label_count,d175,0.0,1
sub-verse022,4,common_matched_assd_mm,d129,0.18818143634990933,1
sub-verse022,4,common_matched_assd_mm,d175,0.1895057506727284,1
sub-verse022,4,common_matched_hd95_mm,d129,1.0,1
sub-verse022,4,common_matched_hd95_mm,d175,1.0,1
sub-verse022,4,complete_label_set_indicator,d129,0.0,1
sub-verse022,4,complete_label_set_indicator,d175,0.0,1
sub-verse022,4,foreground_dice,d129,0.880915,1
sub-verse022,4,foreground_dice,d175,0.879682,1
sub-verse022,4,identification_rate,d129,1.0,1
sub-verse022,4,identification_rate,d175,1.0,1
sub-verse022,4,label_set_jaccard,d129,0.7142857142857143,1
sub-verse022,4,label_set_jaccard,d175,0.7142857142857143,1
sub-verse022,4,macro_label_dice,d129,0.958259459526413,1
sub-verse022,4,macro_label_dice,d175,0.9572844281277588,1
